kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
855;1900-2000;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;2000-2030;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
864;0200-0300;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1500-1530;;USA;Radio Liberty;UZ;CAs;/ARM;1;;
864;1530-1600;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1610-1625;;USA;Trans World Radio;TK;CAs;/ARM;1;;
864;1625-1640;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
864;1640-1655;SaSu;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1640-1710;Mo-Fr;USA;Trans World Radio;R;CAs;/ARM;1;;[0119]
864;1655-1710;Sa;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1655-1710;Su;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1710-1740;;USA;Trans World Radio;UZ;CAs;/ARM;1;;
873;0910-1600;;CHN;China Huayi BC;M;FE;f;1;;[0318]
873;0600-0800;;HNG;Nemzetiségi Rádió;HR;HNG;lh;2;;
873;0600-0800;;HNG;Nemzetiségi Rádió;HR;HNG;p;2;;
873;0800-1000;;HNG;Nemzetiségi Rádió;D;HNG;lh;2;;[1218]
873;0800-1000;;HNG;Nemzetiségi Rádió;D;HNG;p;2;;
873;1000-1100;Mo-Fr;HNG;Nemzetiségi Rádió;VX;HNG;lh;2;;
873;1000-1100;Mo-Fr;HNG;Nemzetiségi Rádió;VX;HNG;p;2;;
873;1100-1130;Sa;HNG;Nemzetiségi Rádió;AR;HNG;lh;2;;
873;1100-1130;Sa;HNG;Nemzetiségi Rádió;AR;HNG;p;2;;
873;1100-1130;We;HNG;Nemzetiségi Rádió;BU;HNG;lh;2;;
873;1100-1130;We;HNG;Nemzetiségi Rádió;BU;HNG;p;2;;
873;1100-1130;Th;HNG;Nemzetiségi Rádió;GR;HNG;lh;2;;
873;1100-1130;Th;HNG;Nemzetiségi Rádió;GR;HNG;p;2;;
873;1100-1130;Tu;HNG;Nemzetiségi Rádió;RU;HNG;lh;2;;
873;1100-1130;Tu;HNG;Nemzetiségi Rádió;RU;HNG;p;2;;
873;1100-1130;Mo;HNG;Nemzetiségi Rádió;SV;HNG;lh;2;;
873;1100-1130;Mo;HNG;Nemzetiségi Rádió;SV;HNG;p;2;;
873;1100-1130;Fr;HNG;Nemzetiségi Rádió;UK;HNG;lh;2;;
873;1100-1130;Fr;HNG;Nemzetiségi Rádió;UK;HNG;p;2;;
873;1130-1200;Sa;HNG;Nemzetiségi Rádió;PO;HNG;lh;2;;
873;1130-1200;Sa;HNG;Nemzetiségi Rádió;PO;HNG;p;2;;
873;1200-1400;;HNG;Nemzetiségi Rádió;SR;HNG;lh;2;;
873;1200-1400;;HNG;Nemzetiségi Rádió;SR;HNG;p;2;;
873;1400-1600;;HNG;Nemzetiségi Rádió;RO;HNG;lh;2;;
873;1400-1600;;HNG;Nemzetiségi Rádió;RO;HNG;p;2;;
873;1600-1800;;HNG;Nemzetiségi Rádió;SK;HNG;lh;2;;
873;1600-1800;;HNG;Nemzetiségi Rádió;SK;HNG;p;2;;
873;1800-2000;irr;HNG;Nemzetiségi Rádió;HR;HNG;lh;2;;
873;1800-2000;irr;HNG;Nemzetiségi Rádió;HR;HNG;p;2;;
873;2000-2200;irr;HNG;Nemzetiségi Rádió;D;HNG;lh;2;;[1018]
873;2000-2200;irr;HNG;Nemzetiségi Rádió;D;HNG;p;2;;
873;0130-0200;Sa-Tu;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;1300-1330;Sa;IND;FEBA India;KAN;SAs;/CLN-p;1;;
873;1300-1330;Fr;IND;FEBA India;TAM;SAs;/CLN-p;1;;
873;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;sn;1;;
873;1900-2000;;KRE;PBS Pyongyang Pansong;K;FE;sn;1;;
873;0300-2000;;MDA;R.Moldova Actualitati;RO;MDA;;2;;[0318]
873;0600-0608;;MDA;R.Moldova Actualitati;R;MDA;;2;;[1017]
873;0800-0805;;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1100-1105;;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1500-1508;We-Mo;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1715-1735;Tu-We;MDA;R.Moldova Actualitati;VX;MDA;;2;;
873;1715-1755;Fr;MDA;R.Moldova Actualitati;BU;MDA;;2;;
873;1715-1755;Mo;MDA;R.Moldova Actualitati;GAG;MDA;;2;;
873;1715-1755;Th;MDA;R.Moldova Actualitati;UK;MDA;;2;;
873;1735-1755;Tu-We;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1800-1805;Sa;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1800-1815;Mo-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;[0918]
873;1815-1828;Tu-Fr;MDA;R.Moldova Actualitati;R;MDA;;2;;
873;1725-1755;SaSu;USA;Radio Liberty;RO;MDA;/MDA;2;;
873;1930-2000;Mo;USA;Radio Liberty;RO;MDA;/MDA;2;;
880;0000-2400;;B;Rádio Inconfidência;P;B;c;1;;
882;0000-0030;;IND;Trans World Radio;MAL;SAs;/CLN-p;1;;
882;0030-0130;;IND;Trans World Radio;TAM;SAs;/CLN-p;1;;
882;1330-1345;Sa;IND;Trans World Radio;BNJ;SAs;/CLN-p;1;;
882;1330-1345;Su;IND;Trans World Radio;SRA;SAs;/CLN-p;1;;
882;1330-1400;Mo-Fr;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;1345-1400;Su;IND;Trans World Radio;GON;SAs;/CLN-p;1;;
882;1345-1400;Sa;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1400-1415;Su;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1400-1415;Sa;IND;Trans World Radio;KOY;SAs;/CLN-p;1;;
882;1400-1430;Mo-Fr;IND;Trans World Radio;TEL;SAs;/CLN-p;1;;
882;1415-1430;Sa;IND;Trans World Radio;KON;SAs;/CLN-p;1;;
882;1415-1430;Su;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1430-1445;Su;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1430-1500;Mo-Fr;IND;Trans World Radio;KAN;SAs;/CLN-p;1;;[0920]
882;1430-1515;Sa;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1445-1500;Su;IND;Trans World Radio;VAR;SAs;/CLN-p;1;;
882;1500-1530;Mo-Fr;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1500-1530;Su;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;1515-1530;Sa;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1530-1600;;IND;Trans World Radio;OR;SAs;/CLN-p;1;;
882;1600-1615;Su;IND;Trans World Radio;CHG;SAs;/CLN-p;1;;
882;1600-1630;Mo-Sa;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;1615-1630;Su;IND;Trans World Radio;TUL;SAs;/CLN-p;1;;
882;1630-1645;Su;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1630-1700;Mo-Fr;IND;Trans World Radio;DEC;SAs;/CLN-p;1;;
882;1630-1700;Sa;IND;Trans World Radio;MAR;SAs;/CLN-p;1;;
882;2230-2300;;IND;Trans World Radio;BE;SAs;/CLN-p;1;;
882;2300-2330;;IND;Trans World Radio;HI;SAs;/CLN-p;1;;
882;2330-2345;Fr;IND;Trans World Radio;KKN;SAs;/CLN-p;1;;
882;2330-2400;Sa-Th;IND;Trans World Radio;GU;SAs;/CLN-p;1;;
882;2345-2400;Fr;IND;Trans World Radio;KUT;SAs;/CLN-p;1;;
909;0305-0320;Sa;ROU;Radio Cluj;UK;UKR;;2;;
909;1803-1900;Fr;ROU;Radio Constanta;AR;ROU;;2;;
909;1803-1900;Mo;ROU;Radio Constanta;GR;ROU;;2;;
909;1803-1900;We;ROU;Radio Constanta;R;ROU;;2;;
909;1803-1900;Th;ROU;Radio Constanta;TT;ROU;;2;;
909;1803-1900;Tu;ROU;Radio Constanta;TU;ROU;;2;;
909;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
909;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;[1218]
909;0300-0700;;USA;Voice of America;E;SAf;/BOT;1;;
909;1600-1700;;USA;Voice of America;E;Af;/BOT;1;;
909;1700-1800;;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1800-1900;SaSu;USA;Voice of America;E;Af;/BOT;1;;
909;1800-1900;Mo-Fr;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1900-2100;;USA;Voice of America;E;Af;/BOT;1;;
909;2100-0300;;USA;Voice of America;E;Af;/BOT;1;;
918;0600-0605;;CBG;National Radio Cambodia;E;SEA;ka;1;;
918;0605-0610;;CBG;National Radio Cambodia;F;SEA;ka;1;;
918;1158-1207;;CBG;National Radio Cambodia;E;SEA;ka;1;;[0420]
918;1207-1216;;CBG;National Radio Cambodia;F;SEA;ka;1;;[0420]
918;2200-1700;;CBG;National Radio Cambodia;KH;SEA;ka;1;;[0920]
927;1930-2000;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2000-2030;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2030-2100;;ALG;Radio Algiers Int.;F;NAf;tm;1;;
927;2100-2130;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;2130-2200;;ALG;Radio Algiers Int.;E;NAf;tm;1;;
927;2200-2230;;ALG;Radio Algiers Int.;S;NAf;tm;1;;
927;2230-2300;;ALG;Radio Algiers Int.;A;NAf;tm;1;;
927;1600-1630;;J;NHK Radio Japan;R;CAs;/TJK;1;;
927;1630-1700;;J;NHK Radio Japan;FS;IRN;/TJK;1;;
927;1700-1730;;J;NHK Radio Japan;UR;SAs;/TJK;1;;
950;0247-0700;;ERI;Voice of Broad Masses 1;Vn;EAf;;1;;
950;1300-1830;;ERI;Voice of Broad Masses 1;Vn;EAf;;1;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;b;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;cb;2;;
954;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;kv;2;;
963;1000-1100;;CHN;China Radio Int.;R;FE;hd;1;;
963;1100-1200;;CHN;China Radio Int.;R;FE;hd;1;;
963;1200-1300;;CHN;China Radio Int.;R;FE;hd;1;;
963;1300-1400;;CHN;China Radio Int.;R;FE;hd;1;;
963;1400-1500;;CHN;China Radio Int.;R;FE;hd;1;;
963;1500-1600;;CHN;China Radio Int.;R;FE;hd;1;;
963;1303-1330;;TUN;Radio Tunis Chaine Int.;E;TUN;;1;;[0216]
963;1330-1400;;TUN;Radio Tunis Chaine Int.;I;TUN;;1;;
963;1400-1903;;TUN;Radio Tunis Chaine Int.;F;TUN;;1;;
963;1903-1930;;TUN;Radio Tunis Chaine Int.;S;TUN;;1;;[1015]
963;1930-2000;;TUN;Radio Tunis Chaine Int.;D;TUN;;1;;[0220]
963;2000-1303;;TUN;Radio Tunis Chaine Int.;F;TUN;;1;;[0318]
972;0350-1400;;KOR;KBS Hanminjok;K;FE;d;1;;[1218]
972;1400-2400;;KOR;KBS Hanminjok;K;FE;d;1;;[1218]
972;1400-0200;;USA;VoA Radio Aap ki Dunya;UR;SAs;/TJK-o;1;;
981;1230-1300;Mo-Fr;J;NHK Radio Japan;T;THA;/THA;1;;
999;1730-1745;SaSu;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1730-1800;Mo-Fr;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1745-1800;Su;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1745-1815;Sa;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1800-1815;Mo-We;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1800-1830;Th,Su;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1815-1830;1236;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1815-1845;Fr;USA;Trans World Radio;UK;EEu;/MDA;2;;
999;1830-1845;Su-Th;USA;Trans World Radio;R;EEu;/MDA;2;;
999;1845-1900;Mo;USA;Trans World Radio;BY;EEu;/MDA;2;;
999;1845-1900;Tu-Su;USA;Trans World Radio;R;EEu;/MDA;2;;
1010;0000-2400;;CAN;CFRX Toronto, CFRB 1010;E;NAm;t;1;;[0920]
1017;1100-1400;;CHN;China Radio Int.;K;FE;cc;1;;
1017;1400-1500;;CHN;China Radio Int.;K;FE;cc;1;;[1218]
1017;2100-2300;;CHN;China Radio Int.;K;FE;cc;1;;
1017;0600-1100;;CHN;China National Radio 8;K;CHN;cc;1;;
1035;0255-0600;;ETH;Radio Oromiya;OO;EAf;ad;1;;
1035;0600-0900;SaSu;ETH;Radio Oromiya;OO;EAf;ad;1;;
1035;0900-1100;;ETH;Radio Oromiya;OO;EAf;ad;1;;
1035;1100-1530;SaSu;ETH;Radio Oromiya;OO;EAf;ad;1;;
1035;1530-2000;;ETH;Radio Oromiya;OO;EAf;ad;1;;[0218]
1044;1100-1600;;CHN;China Radio Int.;J;FE;ch;1;;[1218]
1053;0255-0600;;ETH;Radio Oromiya;OO;EAf;n;1;;
1053;0600-0900;SaSu;ETH;Radio Oromiya;OO;EAf;n;1;;
1053;0900-1100;;ETH;Radio Oromiya;OO;EAf;n;1;;
1053;1100-1530;SaSu;ETH;Radio Oromiya;OO;EAf;n;1;;
1053;1530-2000;;ETH;Radio Oromiya;OO;EAf;n;1;;[0218]
1053;1530-1545;;IND;AIR Delhi;E;SAs;t;1;;
1053;1545-1600;;IND;AIR Delhi;E;SAs;t;1;;
1053;1030-1100;Th;ROU;Radio Iasi;R;ROU;;2;;
1053;1030-1100;We;ROU;Radio Iasi;UK;ROU;;2;;
1053;1730-1800;We;ROU;Radio Iasi;R;ROU;;2;;
1060;0000-2400;;CAN;CFVP Calgary Funny AM;E;WNA;c;1;;[1018]
1060;0500-0530;;F;Radio France Int.;S;CAm;/MEX-e;2;;
1060;2300-0501;;MEX;Radio Educación;S;CAm;e;2;;
1060;0501-2300;;MEX;Radio Educación;S;CAm;e;2;;
1062;0000-0030;Su;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0000-0100;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0000-0130;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0030-0100;Su;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0100-0130;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0130-0200;Sa;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0130-0530;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0200-0300;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0300-0530;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0530-0600;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0530-0800;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0600-0700;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0700-0900;Mo-Fr;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0800-0900;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0900-0930;Mo-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;0900-0930;Sa;PHL;FEBC Manila;TBL;PHL;ko;1;;
1062;0930-1000;Mo;PHL;FEBC Manila;CEB;PHL;ko;1;;
1062;0930-1000;We;PHL;FEBC Manila;E;PHL;ko;1;;
1062;0930-1000;Tu;PHL;FEBC Manila;ILC;PHL;ko;1;;
1062;0930-1000;Th;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;0930-1000;Sa;PHL;FEBC Manila;MNB;PHL;ko;1;;
1062;0930-1000;Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;1000-1030;Sa;PHL;FEBC Manila;TGB;PHL;ko;1;;
1062;1000-1230;Mo-Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;1030-1045;Sa;PHL;FEBC Manila;-MX;PHL;ko;1;;
1062;1045-1100;Sa;PHL;FEBC Manila;AKL;PHL;ko;1;;
1062;1100-1130;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;1130-1145;Sa;PHL;FEBC Manila;CEB;PHL;ko;1;;
1062;1145-1200;Sa;PHL;FEBC Manila;KRY;PHL;ko;1;;
1062;1200-1230;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2100-2130;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2100-2130;Su-Fr;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;2130-2200;Su-Th;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;2130-2230;Fr;PHL;FEBC Manila;ILG;PHL;ko;1;;
1062;2130-2230;Sa;PHL;FEBC Manila;TAG;PHL;ko;1;;
1062;2200-2300;Su-Th;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2230-2300;Sa;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2230-2400;Fr;PHL;FEBC Manila;E;PHL;ko;1;;
1062;2300-2400;Sa-Th;PHL;FEBC Manila;TAG;PHL;ko;1;;
1071;0000-0000;;CZE;Ceský Rozhlas Plus;CZ;CEu;cb;2;;
1071;0000-0000;;CZE;Ceský Rozhlas Plus;CZ;CEu;os;2;;
1071;0005-0010;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;cb;4;;
1071;0005-0010;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;os;4;;
1071;2034-2039;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;cb;2;;
1071;2034-2039;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;os;2;;
1071;2305-2310;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;cb;5;;
1071;2305-2310;Mo-Fr;CZE;Ceský Rozhlas Plus;E;CEu;os;5;;
1071;0630-0815;;IND;AIR DIGITAL;UR;PAK;j;1;;
1080;1130-1230;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1330-1430;;CHN;China Radio Int.;T;SEA;xw;1;;
1080;1430-1530;;CHN;China Radio Int.;LAO;SEA;xw;1;;
1080;1600-1700;;CHN;China Radio Int.;E;SEA;xw;1;;
1080;1700-1800;;CHN;China Radio Int.;E;SEA;xw;1;;
1080;0255-2101;;ETH;Radio Fana;AH;EAf;a;1;;
1080;0000-2400;;IND;Vividh Bharati DIGITAL;HI;SAs;r;1;;[1016]
1080;1623-0320;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
1088;0000-2400;;AGL;R Nacional, Canal A;P;Af;m;1;;
1089;1930-2000;;ALG;Radio Algiers Int.;S;NAf;ad;1;;
1089;2000-2030;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1089;2030-2100;;ALG;Radio Algiers Int.;F;NAf;ad;1;;
1089;2100-2130;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1089;2130-2200;;ALG;Radio Algiers Int.;E;NAf;ad;1;;
1089;2200-2230;;ALG;Radio Algiers Int.;S;NAf;ad;1;;
1089;2230-2300;;ALG;Radio Algiers Int.;A;NAf;ad;1;;
1089;0100-0500;;CHN;China National Radio 6;AM;TWN;f;1;;
1089;0500-0600;;CHN;China National Radio 6;HK;TWN;f;1;;
1089;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;f;1;;
1089;0900-1100;;CHN;China National Radio 6;HK;TWN;f;1;;
1089;1100-1605;;CHN;China National Radio 6;M;TWN;f;1;;
1089;2155-0100;;CHN;China National Radio 6;AM;TWN;f;1;;
1098;0000-0200;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0200-0300;;CHN;China National Radio 11;AMD;CHN;q;1;;
1098;0300-0400;;CHN;China National Radio 11;KHA;CHN;q;1;;
1098;0400-0600;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0600-0900;Th-Tu;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0900-1100;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;1100-1300;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;1300-1400;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;1400-1500;;CHN;China National Radio 11;AMD;CHN;q;1;;[1218]
1098;1500-1600;;CHN;China National Radio 11;KHA;CHN;q;1;;
1098;1600-1605;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;2155-2400;;CHN;China National Radio 11;TB;CHN;q;1;;
1098;0300-0400;;CHN;China National Radio 8;MO;CHN;nm;1;;
1098;0400-1605;;CHN;PBS Nei Menggu;MO;CHN;nm;1;;
1098;2150-0300;;CHN;PBS Nei Menggu;MO;CHN;nm;1;;
1098;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;PAK;zb;1;;
1098;0253-0620;;IRN;IRIB Voice of I.R.Iran;DR;AFG;zb;1;;
1098;0720-0820;;IRN;IRIB Voice of I.R.Iran;PS;PAK;zb;1;;
1098;0823-1450;;IRN;IRIB Voice of I.R.Iran;DR;AFG;zb;1;;
1098;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;zb;1;;
1098;1200-1300;;TWN;Radio Taiwan Int.;AM;SEA;k;1;;
1098;1300-1400;;TWN;Radio Taiwan Int.;M;SEA;k;1;;[1218]
1098;1400-1500;;TWN;Radio Taiwan Int.;M;SEA;k;1;;
1098;1500-1600;;TWN;Radio Taiwan Int.;M;SEA;k;1;;[1218]
1098;1600-1705;;TWN;Radio Taiwan Int.;M;SEA;k;1;;[1218]
1098;1900-2000;;USA;Radio Free Asia;M;FE;/TWN-k;1;;[1218]
1098;2000-2100;;USA;Radio Free Asia;M;FE;/TWN-k;1;;
1098;2100-2200;;USA;Radio Free Asia;M;FE;/TWN-k;1;;
1107;0100-1830;;AFG;Radio Afghanistan;AFG;As;k;1;;[1118]
1116;0125-0130;;IND;AIR Delhi;SNK;SAs;sr;1;;
1116;0130-0135;;IND;AIR Delhi;HI;SAs;sr;1;;
1116;0245-0300;;IND;AIR Delhi;E;SAs;sr;1;;
1116;1230-1235;;IND;AIR Delhi;E;SAs;sr;1;;
1116;1730-1735;;IND;AIR Delhi;E;SAs;sr;1;;
1116;0030-0215;;IND;AIR Srinagar;KS;SAs;sr;5;;[0918]
1116;0120-0215;;IND;AIR Srinagar;KS;SAs;sr;4;;
1116;0225-1115;;IND;AIR Srinagar;KS;SAs;sr;1;;
1116;1120-1745;;IND;AIR Srinagar;KS;SAs;sr;1;;
1116;2205-2305;Ram;IND;AIR Srinagar;KS;SAs;sr;5;;
1116;0000-0230;Mo-Fr;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;0030-0200;Sa;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;0030-0230;Su;PHL;FEBC Manila;E;PHL;zm;1;;
1116;0200-0330;Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;0230-0400;Su;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;0230-0400;Mo-Fr;PHL;FEBC Manila;TAU;PHL;zm;1;;
1116;0330-0400;Sa;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;0400-0430;Mo-Sa;PHL;FEBC Manila;AM;PHL;zm;1;;
1116;0430-0530;Sa;PHL;FEBC Manila;AM;PHL;zm;1;;
1116;0430-0745;Mo-Fr;PHL;FEBC Manila;E;PHL;zm;1;;
1116;0530-0600;Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;0600-0700;Sa;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;0700-1030;Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;0745-1030;Mo-Fr;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;1030-1130;Sa;PHL;FEBC Manila;CEB;PHL;zm;1;;
1116;1030-1230;Mo-Fr;PHL;FEBC Manila;E;PHL;zm;1;;
1116;1130-1300;Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;1230-1305;135;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;1230-1400;Tu,Th;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;2100-2130;Fr-Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;2100-2230;Su-Th;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;2130-2200;Fr-Sa;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;2200-2300;Fr;PHL;FEBC Manila;CEB;PHL;zm;1;;
1116;2200-2330;Sa;PHL;FEBC Manila;E;PHL;zm;1;;
1116;2230-2300;Su-Th;PHL;FEBC Manila;E;PHL;zm;1;;
1116;2300-2330;Fr;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;2300-2400;Su-Th;PHL;FEBC Manila;TAG;PHL;zm;1;;
1116;2330-0030;Fr;PHL;FEBC Manila;CVC;PHL;zm;1;;
1116;2330-0030;Sa;PHL;FEBC Manila;TAG;PHL;zm;1;;
1134;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;q;1;;
1134;0850-1805;;CHN;China National Radio 1;M;CHN;q;1;;
1134;2023-0600;;CHN;China National Radio 1;M;CHN;q;1;;
1143;0300-0400;;CHN;China National Radio 8;MO;CHN;B;1;;
1143;1000-1100;;CHN;China National Radio 8;K;CHN;B;1;;
1143;2055-0300;;CHN;China National Radio 8;MO;CHN;B;1;;
1143;0000-0130;Sa;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;0000-0400;Mo-Fr;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;0130-0200;Sa;PHL;FEBC Manila;ILC;PHL;sc;1;;
1143;0200-0400;Sa;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;0830-1000;Mo-Fr;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;1000-1030;Mo-Fr;PHL;FEBC Manila;ILC;PHL;sc;1;;
1143;1030-1100;Mo-Fr;PHL;FEBC Manila;KGU;PHL;sc;1;;
1143;1100-1130;Th-Fr;PHL;FEBC Manila;IBN;PHL;sc;1;;
1143;1100-1130;Tu-We;PHL;FEBC Manila;ITA;PHL;sc;1;;
1143;1100-1130;Mo;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;1130-1200;Mo-Fr;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;2130-2155;Su-Th;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;2130-2200;Fr;PHL;FEBC Manila;ITA;PHL;sc;1;;
1143;2155-2225;Su-Th;PHL;FEBC Manila;ILC;PHL;sc;1;;
1143;2200-2230;Fr;PHL;FEBC Manila;KKA;PHL;sc;1;;
1143;2225-2400;Su-Th;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;2230-2330;Fr;PHL;FEBC Manila;ILC;PHL;sc;1;;
1143;2330-2400;Fr;PHL;FEBC Manila;TAG;PHL;sc;1;;
1143;0200-0400;;TJK;Voice of Tajik;TJ;As;y;1;;
1143;0400-0600;;TJK;Voice of Tajik;FS;As;y;1;;
1143;0600-0800;;TJK;Voice of Tajik;DR;As;y;1;;
1143;0800-1000;;TJK;Voice of Tajik;R;As;y;1;;[0915]
1143;1000-1100;;TJK;Voice of Tajik;UZ;As;y;1;;
